,Profession,Height,Age,Profession,Nominated,Parents,Children,Picture,wikipedia_link
Amitabh Bachchan, Profession Musician Film Producer Actor Voice acting Singer Presenter , Height 1.88 , Age 76 , Profession Musician Film Producer Actor Voice acting Singer Presenter , Nominated For Filmfare Award for Best Actor Filmfare Award for Best Supporting Actor , Parents Harivanshrai 'Bachchan' Teji Bachchan , Children Abhishek Bachchan Shweta Bachchan-Nanda ,https://imgix.ranker.com/user_node_img/23/450737/original/amitabh-bachchan-recording-artists-and-groups-photo-u3?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Amitabh_Bachchan
Prakash Raj, Profession Film Producer Actor Presenter Film Director ,N\A, Age 53 , Profession Film Producer Actor Presenter Film Director , Nominated For Vijay Award for Best Supporting Actor Filmfare Award for Best Supporting Actor – Tamil Filmfare Award for Best Supporting Actor – Telugu Vijay Award for Best Villain IIFA Award for Best Performance in a Negative Role National Film Award for Best Feature Film in Kannada Vijay Award for Best Film Vijay Award for Favourite Film Filmfare Award for Best Director – Kannada Filmfare Award for Best Film – Tamil Apsara Award for Best Actor in a Negative Role ,N\A, Children Sidhu Rai Pooja Rai Meghna Rai ,https://imgix.ranker.com/node_img/92/1831986/original/prakash-raj-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Prakash_Raj
Shakti Kapoor, Profession Comedian Actor , Height 1.83 , Age 60 , Profession Comedian Actor , Nominated For Filmfare Award for Best Performance in a Comic Role ,N\A, Children Shraddha Kapoor Siddhanth Kapoor ,https://imgix.ranker.com/node_img/101/2011597/original/shakti-kapoor-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Shakti_Kapoor
Brahmanandam, Profession Comedian Actor , Height 1.62 , Age 59 , Profession Comedian Actor , Nominated For Filmfare Award for Best Supporting Actor – Telugu ,N\A, Children Sid Kanneganti Raja Goutham Kanneganti ,https://imgix.ranker.com/node_img/31/619597/original/brahmanandam-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Brahmanandam
Anupam Kher, Profession Film Producer Actor Film Director ,N\A, Age 60 , Profession Film Producer Actor Film Director , Nominated For Screen Actors Guild Award for Outstanding Performance by a Cast in a Motion Picture Filmfare Award for Best Actor Gotham Independent Film Award for Best Ensemble Performance Filmfare Award for Best Supporting Actor , Parents Pushkarnath Kher , Children Sikandar Kher ,https://imgix.ranker.com/user_node_img/24/477197/original/anupam-kher-recording-artists-and-groups-photo-u2?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Anupam_Kher
Asrani, Profession Screenwriter Actor Writer Film Director ,N\A, Age 74 , Profession Screenwriter Actor Writer Film Director , Nominated For Filmfare Award for Best Director Filmfare Award for Best Supporting Actor ,N\A, Children Naveen Asrani ,https://imgix.ranker.com/node_img/26/503273/original/asrani-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Asrani
Mithun Chakraborty, Profession Television presenter Wrestler Entrepreneur Social Worker Actor Singer , Height 1.83 , Age 68 , Profession Television presenter Wrestler Entrepreneur Social Worker Actor Singer , Nominated For Filmfare Award for Best Performance in a Negative Role Filmfare Award for Best Supporting Actor ,N\A, Children Rimoh Chakraborty Namashi Chakraborty Mimoh Chakraborty Dishani Chakraborty ,https://imgix.ranker.com/node_img/80/1599760/original/mithun-chakraborty-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Mithun_Chakraborty
Gulshan Grover, Profession Entrepreneur Film Producer Actor Teacher , Height 1.73 , Age 63 , Profession Entrepreneur Film Producer Actor Teacher , Nominated For Filmfare Award for Best Performance in a Negative Role ,N\A, Children Sanjay Grover ,https://imgix.ranker.com/node_img/56/1111635/original/gulshan-grover-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Gulshan_Grover
Madan Puri, Profession Actor ,N\A, Age Dec. at 70 (1915-1985) , Profession Actor ,N\A, Parents S. Nihal Singh Puri Ved Kaur , Children Pravesh Puri Kamlesh Puri Ramesh Puri ,https://imgix.ranker.com/user_node_img/75/1495741/original/madan-puri-people-in-film-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Madan_Puri
Paresh Rawal, Profession Television producer Film Producer Actor , Height 1.83 , Age 68 , Profession Television producer Film Producer Actor , Nominated For Filmfare Award for Best Performance in a Negative Role Filmfare Award for Best Supporting Actor ,N\A, Children Aditya Rawal Aniruddh Rawal ,https://imgix.ranker.com/node_img/88/1756046/original/paresh-rawal-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Paresh_Rawal
Aruna Irani, Profession Actor ,N\A, Age 66 , Profession Actor , Nominated For Indian Telly Award for Director of the Year Filmfare Award for Best Supporting Actress Indian Telly Award for Best Actress in a Negative Role Indian Telly Award for Best Actress in a Supporting Role ,N\A,N\A,https://imgix.ranker.com/node_img/25/498941/original/aruna-irani-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Aruna_Irani
Johnny Lever, Profession Comedian Actor , Height 1.75 , Age 61 , Profession Comedian Actor , Nominated For Filmfare Award for Best Performance in a Comic Role Apsara Award for Best Actor in a Comic Role IIFA Award for Best Performance in a Comic Role Zee Cine Award for Best Actor in a Comic Role , Parents Prakash Rao Janumala Karunamma Janumala , Children Jamie Lever Jessey Lever ,https://imgix.ranker.com/user_node_img/66/1300870/original/johnny-lever-actors-film-actor-people-in-film-person-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Johnny_Lever
Kader Khan, Profession Comedian Screenwriter Actor Film Director ,N\A, Age 83 , Profession Comedian Screenwriter Actor Film Director , Nominated For Filmfare Award for Best Performance in a Comic Role , Parents Iqbal Begum Abdul Rehman Khan , Children Shahnawaz Khan Sarfaraz Khan ,https://imgix.ranker.com/node_img/68/1341689/original/kader-khan-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Kader_Khan
